blue_glazed_terracotta|minecraft:blue_glazed_terracotta
brown_glazed_terracotta|minecraft:brown_glazed_terracotta
cyan_glazed_terracotta|minecraft:cyan_glazed_terracotta
gray_glazed_terracotta|minecraft:gray_glazed_terracotta
green_glazed_terracotta|minecraft:green_glazed_terracotta
light_gray_glazed_terracotta|minecraft:light_gray_glazed_terracotta
light_blue_glazed_terracotta|minecraft:light_blue_glazed_terracotta
lime_glazed_terracotta|minecraft:lime_glazed_terracotta
magenta_glazed_terracotta|minecraft:magenta_glazed_terracotta
orange_glazed_terracotta|minecraft:orange_glazed_terracotta
pink_glazed_terracotta|minecraft:pink_glazed_terracotta
purple_glazed_terracotta|minecraft:purple_glazed_terracotta
red_glazed_terracotta|minecraft:red_glazed_terracotta
white_glazed_terracotta|minecraft:white_glazed_terracotta
yellow_glazed_terracotta|minecraft:yellow_glazed_terracotta
black_glazed_terracotta|minecraft:black_glazed_terracotta
