spruce_planks|minecraft:spruce_slab
birch_planks|minecraft:birch_slab
oak_planks|minecraft:oak_slab
jungle_planks|minecraft:jungle_slab
acacia_planks|minecraft:acacia_slab
dark_oak_planks|minecraft:dark_oak_slab
mangrove_planks|minecraft:mangrove_slab
cherry_planks|minecraft:cherry_slab
bamboo_planks|minecraft:bamboo_slab
bamboo_mosaic|minecraft:bamboo_mosaic_slab
crimson_planks|minecraft:crimson_slab
warped_planks|minecraft:warped_slab
stone|minecraft:stone_slab
smooth_stone_slab_side|minecraft:smooth_stone_slab
stone_bricks|minecraft:stone_brick_slab
cobblestone|minecraft:cobblestone_slab
mossy_cobblestone|minecraft:mossy_cobblestone_slab
andesite|minecraft:andesite_slab
polished_andesite|minecraft:polished_andesite_slab
diorite|minecraft:diorite_slab
polished_diorite|minecraft:polished_diorite_slab
granite|minecraft:granite_slab
polished_granite|minecraft:polished_granite_slab
sandstone|minecraft:sandstone_slab
red_sandstone|minecraft:red_sandstone_slab
sandstone_top|minecraft:sandstone_top_slab
cut_sandstone|minecraft:cut_sandstone_slab
cut_red_sandstone|minecraft:cut_red_sandstone_slab
chiseled_sandstone|minecraft:chiseled_sandstone_slab
bricks|minecraft:brick_slab
prismarine|minecraft:prismarine_slab
prismarine_bricks|minecraft:prismarine_brick_slab
dark_prismarine|minecraft:dark_prismarine_slab
nether_bricks|minecraft:nether_brick_slab
red_nether_bricks|minecraft:red_nether_brick_slab
quartz_block_side|minecraft:quartz_slab
quartz_block_bottom|minecraft:smooth_quartz_slab
purpur_block|minecraft:purpur_slab
end_stone|minecraft:end_stone_slab
blackstone|minecraft:blackstone_slab
polished_blackstone|minecraft:polished_blackstone_slab
polished_blackstone_bricks|minecraft:polished_blackstone_brick_slab
cut_copper|minecraft:waxed_cut_copper_slab
exposed_cut_copper|minecraft:waxed_exposed_cut_copper_slab
weathered_cut_copper|minecraft:waxed_weathered_cut_copper_slab
oxidized_cut_copper|minecraft:waxed_oxidized_cut_copper_slab
cobbled_deepslate|minecraft:cobbled_deepslate_slab
polished_deepslate|minecraft:polished_deepslate_slab
deepslate_bricks|minecraft:deepslate_brick_slab
deepslate_tiles|minecraft:deepslate_tile_slab
mud_bricks|minecraft:mud_brick_slab
