spruce_planks|minecraft:spruce_stairs
birch_planks|minecraft:birch_stairs
oak_planks|minecraft:oak_stairs
jungle_planks|minecraft:jungle_stairs
acacia_planks|minecraft:acacia_stairs
dark_oak_planks|minecraft:dark_oak_stairs
mangrove_planks|minecraft:mangrove_stairs
cherry_planks|minecraft:cherry_stairs
bamboo_planks|minecraft:bamboo_stairs
bamboo_mosaic|minecraft:bamboo_mosaic_stairs
crimson_planks|minecraft:crimson_stairs
warped_planks|minecraft:warped_stairs
stone|minecraft:stone_stairs
stone_bricks|minecraft:stone_brick_stairs
cobblestone|minecraft:cobblestone_stairs
mossy_cobblestone|minecraft:mossy_cobblestone_stairs
andesite|minecraft:andesite_stairs
polished_andesite|minecraft:polished_andesite_stairs
diorite|minecraft:diorite_stairs
polished_diorite|minecraft:polished_diorite_stairs
granite|minecraft:granite_stairs
polished_granite|minecraft:polished_granite_stairs
sandstone|minecraft:sandstone_stairs
red_sandstone|minecraft:red_sandstone_stairs
sandstone_top|minecraft:sandstone_top_stairs
chiseled_sandstone|minecraft:chiseled_sandstone_stairs
bricks|minecraft:brick_stairs
prismarine|minecraft:prismarine_stairs
prismarine_bricks|minecraft:prismarine_brick_stairs
dark_prismarine|minecraft:dark_prismarine_stairs
nether_bricks|minecraft:nether_brick_stairs
red_nether_bricks|minecraft:red_nether_brick_stairs
quartz_block_side|minecraft:quartz_stairs
quartz_block_bottom|minecraft:smooth_quartz_stairs
purpur_block|minecraft:purpur_stairs
end_stone|minecraft:end_stone_stairs
blackstone|minecraft:blackstone_stairs
polished_blackstone|minecraft:polished_blackstone_stairs
polished_blackstone_bricks|minecraft:polished_blackstone_brick_stairs
cut_copper|minecraft:waxed_cut_copper_stairs
exposed_cut_copper|minecraft:waxed_exposed_cut_copper_stairs
weathered_cut_copper|minecraft:waxed_weathered_cut_copper_stairs
oxidized_cut_copper|minecraft:waxed_oxidized_cut_copper_stairs
cobbled_deepslate|minecraft:cobbled_deepslate_stairs
polished_deepslate|minecraft:polished_deepslate_stairs
deepslate_bricks|minecraft:deepslate_brick_stairs
deepslate_tiles|minecraft:deepslate_tile_stairs
mud_bricks|minecraft:mud_brick_stairs
